ID,type,city,postcode,lat,lon,rentGross,livingSpace,numberOfRooms,yearBuilt,hasBalcony,hasElevator,hasParking
4001148844,"['APARTMENT', 'FLAT']",Fribourg,1700,46.805401781979,7.165302311609,1490.0,73.0,3.5,2014.0,False,False,False
4001148830,"['APARTMENT', 'ROOF_FLAT']",Zuchwil,4528,47.206261781971,7.560202311608,1105.0,45.0,2.0,1982.0,True,False,False
4001148666,"['APARTMENT', 'FLAT']",Luzern,6005,47.041951781977,8.314082311602,2500.0,113.0,4.5,1998.0,True,True,False
4001138508,"['HOUSE', 'BIFAMILIAR_HOUSE']",Münchwilen TG,9542,47.478891781973,8.992012311605,2850.0,150.0,6.5,2020.0,True,False,True
4001137927,"['APARTMENT', 'FLAT']",Hauenstein,4633,47.376931781973,7.871252311601,2000.0,115.0,3.5,2023.0,True,False,True
4001136401,"['APARTMENT', 'ROOF_FLAT']",Riggisberg,3132,46.810541781976,7.458872311605,2500.0,160.0,4.5,2019.0,True,False,True
4000838773,"['APARTMENT', 'FLAT']",Basel,4057,47.569361781974,7.597532311607,1870.0,60.0,2.5,2024.0,True,False,True
4000875729,"['APARTMENT', 'FLAT']",Kaltbrunn,8722,47.205861781972,9.038842311602,2000.0,91.0,4.5,2019.0,True,True,True
4001000796,"['APARTMENT', 'DUPLEX']",St. Gallen,9010,47.440181781972,9.377722311608,1795.0,66.0,2.5,2023.0,False,False,False
4001078863,"['APARTMENT', 'FLAT']",Wauwil,6242,47.186541781974,8.032892311608,3150.0,153.0,5.5,2024.0,True,True,True
4001102701,"['APARTMENT', 'FLAT']",Aarwangen,4912,47.243931781976,7.768572311602,1700.0,97.0,3.5,2014.0,True,True,True
4000766279,"['APARTMENT', 'FLAT']",Bellinzona,6500,46.205931781978,9.024542311602,2450.0,106.0,4.5,2014.0,True,True,False
4001078860,"['APARTMENT', 'FLAT']",Wauwil,6242,47.186541781974,8.032892311608,3150.0,153.0,5.5,2024.0,True,True,True
4001114632,"['APARTMENT', 'DUPLEX']",Altendorf,8852,47.195301781971,8.808102311603,3830.0,144.0,4.5,2024.0,True,True,True
4000975155,"['APARTMENT', 'TERRACE_FLAT']",Delsberg,2800,47.366801781974,7.352462311601,1580.0,83.0,3.5,2020.0,True,True,True
4001112587,"['APARTMENT', 'FLAT']",Aarwangen,4912,47.243931781976,7.768562311601,1790.0,107.0,4.5,2014.0,True,True,True
4001051833,"['APARTMENT', 'FLAT']",Uzwil,9240,47.435561781975,9.137182311605,1880.0,82.0,3.5,2024.0,True,True,False
4001065550,"['APARTMENT', 'FLAT']",Prilly,1008,46.540011781972,6.597122311608,1980.0,52.0,2.5,2024.0,True,True,True
4001138326,"['APARTMENT', 'FLAT']",Möhlin,4313,47.561611781977,7.839592311608,2900.0,116.0,4.5,2024.0,True,True,False
4001137155,"['APARTMENT', 'FLAT']",Savièse,1965,46.261121781974,7.367672311601,2000.0,105.0,3.5,2024.0,True,True,True
4001136053,"['APARTMENT', 'FLAT']",Liestal,4410,47.483231781974,7.731382311601,2300.0,99.0,3.5,2015.0,True,True,False
4001003520,"['APARTMENT', 'ROOF_FLAT']",Güttingen,8594,47.592051781979,9.281372311606,1845.0,60.0,2.5,2023.0,True,False,True
4001114631,"['APARTMENT', 'ATTIC_FLAT']",Altendorf,8852,47.195301781971,8.808102311603,2480.0,88.0,2.5,2024.0,True,True,True
4001049865,"['APARTMENT', 'DUPLEX']",Spiegel b. Bern,3095,46.924941781972,7.440002311603,4480.0,132.0,4.5,2016.0,True,True,False
4001102817,"['HOUSE', 'BIFAMILIAR_HOUSE']",Plagne,2536,47.188421781978,7.287332311603,2450.0,165.0,4.5,2024.0,True,False,True
4001064642,"['APARTMENT', 'FLAT']",Brüttelen,3237,47.024231781975,7.148782311605,1850.0,93.0,3.5,2024.0,True,True,True
4001090754,"['APARTMENT', 'FLAT']",Lengnau BE,2543,47.182371781972,7.365272311604,1710.0,87.0,3.5,1800.0,True,True,True
4001103715,"['APARTMENT', 'FLAT']",Therwil,4106,47.499971781979,7.553632311608,2942.0,99.0,3.5,2024.0,True,True,True
4001138535,"['APARTMENT', 'BACHELOR_FLAT']",Oberdiessbach,3672,46.836351781975,7.610732311601,950.0,23.0,1.0,2024.0,True,False,False
4001078812,"['APARTMENT', 'ATTIC_FLAT']",Davos Dorf,7260,46.775741781973,9.899772311608,3850.0,150.0,4.5,2015.0,True,True,True
4000840459,"['APARTMENT', 'FLAT']",Flamatt,3175,46.890891781971,7.327372311608,1995.0,70.0,3.5,2022.0,True,True,True
4001090524,"['APARTMENT', 'FLAT']",Zürich,8005,47.389001781976,8.525612311601,5850.0,118.0,3.5,2013.0,False,True,True
4000838374,"['APARTMENT', 'FLAT']",Frauenkappelen,3202,46.950601781979,7.337432311601,2990.0,135.0,3.5,2022.0,True,True,True
4001015092,"['APARTMENT', 'FLAT']",Avenches,1580,46.883641781973,7.045622311603,2750.0,137.0,4.5,2020.0,True,False,True
4001115856,"['APARTMENT', 'FLAT']",Grenchen,2540,47.187271781971,7.382182311609,780.0,70.0,2.0,2014.0,True,False,True
